userId,movieId,rating
0,4167,4.179982853957981
0,2612,3.3791131009293403
0,1920,6.00417154297765
0,285,6.301643323942033
0,89,7.973184192069558
0,3479,7.931622689390036
0,1940,8.341498495163142
0,2495,7.632496695867104
0,29,6.589251164843139
0,4347,6.464783907522561
0,3244,4.737770065678776
0,428,8.24947046367723
0,347,6.233401818094017
0,350,4.984425036970549
0,721,6.069574517051051
0,1590,6.052688090816483
0,1194,8.252193128845642
0,684,8.044842076493456
0,1995,5.143255185226777
0,248,6.386294382457722
0,687,8.459445300633682
0,940,7.493393195843913
0,1314,7.943151379325211
0,2922,6.107271877989979
0,395,10.0
0,1553,6.719413792398936
0,1885,6.3020424149771985
0,69,6.908703868787881
0,1982,4.371874312112896
0,325,7.763737426009132
0,99,7.955298735938763
0,4155,6.628500496593224
0,4321,5.298375319489741
0,3056,5.957419193778495
0,722,6.11611250695312
0,162,6.015566925656841
0,2356,5.581757867432561
0,1226,6.359696808940416
0,212,6.952172497287208
0,1482,6.537279979398042
0,49,7.685675305084419
0,3811,8.171769343794757
0,577,7.557793200324665
0,2253,7.1633299409322495
0,747,5.736067180333134
0,1571,6.809688254160962
0,1697,6.715054725961168
0,353,5.948261413800858
0,4344,6.910600430209334
0,2859,7.462070993761571
0,4067,2.9172359286547955
0,3698,7.718276915833149
0,1918,6.50672532262956
0,3895,6.266294715295087
0,142,6.679404489800264
0,386,6.950908637473402
0,67,6.322408245142133
0,804,2.9665276002063976
0,1037,4.985414787299106
0,622,8.60593810798894
0,3235,7.37217379323254
1,54,4.089743067014664
1,1990,10.0
1,1512,7.610749381367682
1,78,4.913044754196028
1,641,7.1848304129507445
1,3797,4.7379774946590185
1,514,7.6806269056136784
1,261,8.137893368511106
1,1449,3.5689765224724344
1,4558,9.245064193866483
1,521,7.619171390404747
1,2307,8.533090239991735
1,2793,8.845189473980922
1,511,6.431917825995694
1,2586,4.769395753463765
1,946,6.165728355561715
1,2096,6.176284572551843
1,2101,6.184347435878844
1,1638,7.111727962224966
1,146,6.8150361989950285
1,3262,7.9407748735540356
1,788,7.419502837816861
1,356,9.180301115735976
1,61,4.803014750143066
1,1881,10.0
1,2327,8.23850102164751
1,23,4.5142636653755766
1,1548,4.593661252908332
1,476,6.623708622864778
1,2152,7.564805822011224
1,330,9.071000741138137
1,2402,8.109856436860317
1,1028,7.590756631014691
1,4036,5.029809422897392
1,244,3.727729162971203
1,859,3.5302275718994687
1,196,7.984598191485208
1,3919,6.621140616195306
1,3568,3.3313918319320184
